"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1000 SQ FT APARTMENT FOR SALE IN PALLABI, MIRPUR";2;2;5;"VACANT";1000;"DHAKA";5500000;"PALLABI, MIRPUR";5500.0
"1000 SQ FT APARTMENT IS READY FOR SALE IN GAZIPUR SADAR UPAZILA, TONGI, AUCHPARA";3;3;2;"VACANT";1000;"GAZIPUR";4000000;"TONGI, GAZIPUR SADAR UPAZILA";4000.0
"1000 SQ FT FLAT OF GREAT QUALITY IS FOR SALE IN MIDDLE PAIKPARA, MIRPUR";3;2;8;"VACANT";1000;"DHAKA";5500000;"MIDDLE PAIKPARA, MIRPUR";5500.0
"1000 SQ FT FLAT WITH 2 BEDROOMS IS UP FOR SALE IN DAKSHIN KHAN";2;2;4;"VACANT";1000;"DHAKA";6000000;"EAST AZAMPUR, DAKSHIN KHAN";6000.0
"1000 SQ FT IMPRESSIVE FLAT FOR SALE IN GAZIPUR, CHANDANA";2;2;9;"VACANT";1000;"GAZIPUR";4300000;"CHANDANA, GAZIPUR SADAR UPAZILA";4300.0
"1000 SQ FT SUITABLE FLAT FOR SALE IN GAZIPUR, CHANDANA";2;2;4;"VACANT";1000;"GAZIPUR";4300000;"CHANDANA, GAZIPUR SADAR UPAZILA";4300.0
"1000 SQUARE FEET APARTMENT FOR SALE IS READY TO OFFER YOU A SUITABLE HOME EXPERIENCE IN MIRPUR";2;2;1;"VACANT";1000;"DHAKA";3500000;"EAST SHEWRAPARA, MIRPUR";3500.0
"1007 SQ FT APARTMENT FOR SALE IN FIRINGEE BAZAAR NEAR FIRINGEE BAZAAR TEMPLE.";2;2;8;"VACANT";1007;"CHATTOGRAM";5034000;"KOBI KAZI NAZRUL ISLAM ROAD, 33 NO. FIRINGEE BAZAAR WARD";4999.007
"1012 SQ FT FLAT IS AVAILABLE FOR SALE IN 11 NO. SOUTH KATTALI WARD";3;3;3;"VACANT";1012;"CHATTOGRAM";4400000;"PORT CONNECTING ROAD, 11 NO. SOUTH KATTALI WARD";4347.8261
"1013 SQ FT APARTMENT FOR SALE IN MANOHARPUR, KANDIRPAR";3;3;9;"VACANT";1013;"CUMILLA";5000000;"MANOHARPUR, KANDIRPAR";4935.8342
"1013 SQ FT NICE FLAT IS AVAILABLE FOR SALE IN MANOHARPUR";3;3;7;"VACANT";1013;"CUMILLA";5000000;"MANOHARPUR, KANDIRPAR";4935.8342
"1020 SQ FT FLAT IS AVAILABLE FOR SALE IN SHAH SHUJA MOSQUE ROAD, MOGHULTOLI";2;2;8;"VACANT";1020;"CUMILLA";4080000;"SHAH SHUJA MOSQUE ROAD, MOGHULTOLI";4000.0
"1020 SQ. FT. FLAT FOR SALE IN NAZRUL AVENUE NEAR ASHOKTALA JAME MASJID";3;2;4;"VACANT";1010;"CUMILLA";3535000;"NAZRUL AVENUE, ASHOKTALA";3500.0
"1040 SQ FT APARTMENT WITH 2 BEDROOMS FOR SALE IN SECTION 15, MIRPUR";2;2;5;"VACANT";1040;"DHAKA";6200000;"SECTION 15, MIRPUR";5961.5385
"1040 SQ FT PROPERLY DEVELOPED FLAT FOR SALE IN RAJANIGANDHA RESIDENTIAL AREA";2;2;1;"VACANT";1040;"DHAKA";6500000;"SECTION 15, MIRPUR";6250.0
"1050 SQ FT APARTMENT IS UP FOR SALE IN TONGI, GAZIPUR";3;3;8;"VACANT";1050;"GAZIPUR";3990000;"TONGI, GAZIPUR SADAR UPAZILA";3800.0
"1050 SQ FT APARTMENT WITH 2 BALCONIES FOR SALE IN MIRPUR, AHMED NAGAR";3;2;1;"VACANT";1050;"DHAKA";5500000;"AHMED NAGAR, MIRPUR";5238.0952
"1050 SQ FT FLAT FOR SALE IN RADIO COLONY, SAVAR";2;2;6;"VACANT";1050;"DHAKA";3360000;"RADIO COLONY, SAVAR";3200.0
"1050 SQ FT FLAT IS NOW VACANT FOR SALE IN WEST MONIPUR";3;2;5;"VACANT";1050;"DHAKA";4725000;"WEST MONIPUR, MIRPUR";4500.0
"1050 SQ FT READY FLAT FOR SALE AT BAYAZID";2;2;6;"VACANT";1050;"CHATTOGRAM";4000000;"CHADRA NAGAR, BAYAZID";3809.5238
"1050 SQ FT READY FLAT FOR SALE IN MATUAIL, NEW TOWN R/A";3;3;6;"VACANT";1050;"NARAYANGANJ-CITY";8000000;"MATUAIL, DEMRA";7619.0476
